"id","scope_kind","feature","domain","original_type","original_audience","original_priority","original_prototype_target","original_scenarios","description","personas","journeys","screens","permission_contract","edge_cases","verification_status","observed_run_evidence","required_evidence","acceptance_checks","related_ids","implementation_status","evidence_basis","historical_audit_status","historical_audit_limitation","competitor_evidence","source_refs","delivery_scope","reconciled_on"
"A001","baseline","Google or email authentication","Identity","Inherited","All","not_assigned","not_assigned","not_assigned","Google or email authentication. Inherited behavior: Unified Lyzr profile. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Admin","J01 || J06","SC01 || SC02 || SC03","Account owner for own settings; Admin for membership, never self-escalation.","EC01 || EC02 || EC03 || EC11 || EC12","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Complete email and Google sign-in plus denied callback recovery; unauthenticated requests cannot read projects. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC12); preserve drafts on recoverable failure and enforce the permission contract server-side.","","partial","E04 reports email/Google sign-in, signup validation, recovery and sign-out; E05 records a historical live Google test-user login. Public OAuth launch, MFA/passkeys/session management and a fresh end-to-end replay are not established.","Partial","Supabase email adapter exists but live authentication was not verified; no Google OAuth flow.","Docs verified; Official docs; Unified Lyzr profile. Evidence about Architect only.","E01 || E03#A001 || E04","committed_scope_not_completion","2026-09-25"
"A002","baseline","Organization-scoped workspace","Identity","Inherited","Teams","not_assigned","not_assigned","not_assigned","Organization-scoped workspace. Inherited behavior: Projects members and usage share org context. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Admin","J01 || J06","SC01 || SC02 || SC03","Account owner for own settings; Admin for membership, never self-escalation.","EC01 || EC02 || EC03 || EC11 || EC12","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Create two workspaces with different members; each project, usage view and resource stays scoped to its workspace. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC12); preserve drafts on recoverable failure and enforce the permission contract server-side.","","partial","E04 reports cloud-backed personal/company membership, scoped invitations and owner protection; invitation delivery is absent. Fixture browser checks and rollback-only live SQL isolation checks are reported, not rerun here; complete member lifecycle remains unproven. E10 latest user/parent progress reports rootpersistent, DirectBuilder, BotPortal, BYOKPanel, MemoryPanel and organisation-intent sign-in implemented, currently under verification; row-level acceptance and run evidence are not yet supplied.","Pending","No verified implementation in this revision.","Live verified; 15-profile-organization-menu.png; Projects members and usage share org context. Evidence about Architect only.","E01 || E03#A002 || E04 || E10","committed_scope_not_completion","2026-09-25"
"A003","baseline","Organization switching","Identity","Inherited","Teams","not_assigned","not_assigned","not_assigned","Organization switching. Inherited behavior: Profile menu switcher. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Admin","J01 || J06","SC01 || SC02 || SC03","Account owner for own settings; Admin for membership, never self-escalation.","EC01 || EC02 || EC03 || EC11 || EC12","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Switch personal/company workspaces; clear prior subscriptions and caches before displaying the target workspace. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC12); preserve drafts on recoverable failure and enforce the permission contract server-side.","","partial","E04 reports cloud-backed personal/company membership, scoped invitations and owner protection; invitation delivery is absent. Fixture browser checks and rollback-only live SQL isolation checks are reported, not rerun here; complete member lifecycle remains unproven. E10 latest user/parent progress reports rootpersistent, DirectBuilder, BotPortal, BYOKPanel, MemoryPanel and organisation-intent sign-in implemented, currently under verification; row-level acceptance and run evidence are not yet supplied.","Pending","No verified implementation in this revision.","Live verified; 15-profile-organization-menu.png; Profile menu switcher. Evidence about Architect only.","E01 || E03#A003 || E04 || E10","committed_scope_not_completion","2026-09-25"
"A004","baseline","Profile editing","Identity","Inherited","All","not_assigned","not_assigned","not_assigned","Profile editing. Inherited behavior: Account settings. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Admin","J01 || J06","SC01 || SC02 || SC03","Account owner for own settings; Admin for membership, never self-escalation.","EC01 || EC02 || EC03 || EC11 || EC12","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Edit allowed profile fields, save and reload; invalid input returns field errors without losing edits. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC12); preserve drafts on recoverable failure and enforce the permission contract server-side. || Apply expanded acceptance in COR-005; these requirements supplement or correct this row.","COR-005","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live verified; 14-account-overview.png; Account settings. Evidence about Architect only.","E01 || E03#A004","committed_scope_not_completion","2026-09-25"
"A005","baseline","Light and dark mode","Identity","Inherited","All","not_assigned","not_assigned","not_assigned","Light and dark mode. Inherited behavior: Global and builder controls. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Admin","J01 || J06","SC01 || SC02 || SC03","Account owner for own settings; Admin for membership, never self-escalation.","EC01 || EC02 || EC03 || EC11 || EC12","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Toggle light/dark, reload and change sections; saved theme and readable focus/contrast persist. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC12); preserve drafts on recoverable failure and enforce the permission contract server-side.","","partial","E04 reports six IDE themes and custom colors. Complete design-system/accessible behavior needs journey-level visual and interaction evidence.","Working locally","Graphite and Silver themes; saved preference.","Live verified; 01-home-dashboard.png; Global and builder controls. Evidence about Architect only.","E01 || E03#A005 || E04","committed_scope_not_completion","2026-09-25"
"A006","baseline","Plan and credit balance","Account","Inherited","All","not_assigned","not_assigned","not_assigned","Plan and credit balance. Inherited behavior: Subscription purchased and current balances. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Admin","J10 || J01","SC03 || SC17","Individual owns personal demo balance; company purchase needs explicit billing grant.","EC01 || EC02 || EC03 || EC11 || EC05 || EC09 || EC10","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Compare profile balance to ledger available/reserved/consumed totals; label demo funds and unknown balance explicitly. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC05, EC09, EC10); preserve drafts on recoverable failure and enforce the permission contract server-side. || Apply expanded acceptance in SUP-17, COR-004, COR-005, COR-006; these requirements supplement or correct this row.","SUP-17 || COR-004 || COR-005 || COR-006","partial","E04 reports a simulated credit ledger and checkout. Real provider spend is not synchronized; per-model settlement, hard currency caps and requested profile placement are not established.","Pending","No verified implementation in this revision.","Live verified; 14-account-overview.png; Subscription purchased and current balances. Evidence about Architect only.","E01 || E03#A006 || E04","committed_scope_not_completion","2026-09-25"
"A007","baseline","Stripe billing portal","Account","Inherited","Buyer","not_assigned","not_assigned","not_assigned","Stripe billing portal. Inherited behavior: Not opened. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Admin","J10 || J01","SC03 || SC17","Individual owns personal demo balance; company purchase needs explicit billing grant.","EC01 || EC02 || EC03 || EC11 || EC05 || EC09 || EC10","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Keep live Stripe billing unavailable in current delivery; simulated checkout never opens a payment provider or collects payment details. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC05, EC09, EC10); preserve drafts on recoverable failure and enforce the permission contract server-side. || Apply expanded acceptance in SUP-17, COR-004, COR-005, COR-006; these requirements supplement or correct this row.","SUP-17 || COR-004 || COR-005 || COR-006","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live visible; 14-account-overview.png; Not opened. Evidence about Architect only.","E01 || E03#A007","retained_later_scope_current_override_applies","2026-09-25"
"A008","baseline","Referral program","Account","Inherited","All","not_assigned","not_assigned","not_assigned","Referral program. Inherited behavior: $10 reward stated live. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Admin","J10 || J01","SC03 || SC17","Individual owns personal demo balance; company purchase needs explicit billing grant.","EC01 || EC02 || EC03 || EC11 || EC05 || EC09 || EC10","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Validate referral eligibility and duplicate/self-referral rejection; any unimplemented reward is labelled unavailable. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC05, EC09, EC10); preserve drafts on recoverable failure and enforce the permission contract server-side.","","pending","E03 historical row reports Pending: No verified implementation in this revision. No newer row-specific verification reviewed.","Pending","No verified implementation in this revision.","Live verified; 14-account-overview.png; $10 reward stated live. Evidence about Architect only.","E01 || E03#A008","committed_scope_not_completion","2026-09-25"
"A009","baseline","Logout","Account","Inherited","All","not_assigned","not_assigned","not_assigned","Logout. Inherited behavior: No logout performed. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Admin","J01 || J06","SC01 || SC02 || SC03","Account owner for own settings; Admin for membership, never self-escalation.","EC01 || EC02 || EC03 || EC11 || EC12","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Sign out then revisit a protected deep link; cached workspace content and active sessions cannot restore access. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC12); preserve drafts on recoverable failure and enforce the permission contract server-side.","","partial","E04 reports email/Google sign-in, signup validation, recovery and sign-out; E05 records a historical live Google test-user login. Public OAuth launch, MFA/passkeys/session management and a fresh end-to-end replay are not established.","Working locally","Clears local session and returns to account access.","Live visible; 15-profile-organization-menu.png; No logout performed. Evidence about Architect only.","E01 || E03#A009 || E04","committed_scope_not_completion","2026-09-25"
"A010","baseline","Prompt-first creation","Home","Inherited","All","not_assigned","not_assigned","not_assigned","Prompt-first creation. Inherited behavior: Primary creation path. Preserve the capability in Kova subject to the related current-scope overrides; Architect observations do not establish Kova delivery.","Individual || Nontechnical || Developer || PM || QA || Admin || Client","J01 || J02","SC02","Read authorized projects; project owner or granted editor for mutations.","EC01 || EC02 || EC03 || EC11 || EC04 || EC13","not_verified_in_this_pass","No new application or integration run performed in this documentation pass.","Record implementation revision, environment, actor/role/workspace, inputs, actual execution mode, expected/actual outcome, dated raw result and artifact links; execute listed EC cases. A screenshot or source code alone is insufficient.","Submit a brief from Home; open its continuous chat/work panel without a fixed questionnaire. || Exercise the linked edge cases (EC01, EC02, EC03, EC11, EC04, EC13); preserve drafts on recoverable failure and enforce the permission contract server-side.","","partial","E04 reports prompt/project entry and clarification; E06 rejects the fixed form flow and mandatory Direct Build documents. The corrected conversational execution journey is pending.","Working locally","Brief and name create a saved local project.","Live verified; 01-home-dashboard.png; Primary creation path. Evidence about Architect only.","E01 || E03#A010 || E04","committed_scope_not_completion","2026-09-25"
